Folder,id,time,success,problem,number of objects,number of variables,algorithm choice,phase list,phase strategy,first phase rate,population size,maximum number of function evaluations,igd,gd,hv,time cost
20231204182659_14591,20231204182659_14591,,,dtlz3,2,2,2,,,0.5,11,300,1.33324072516776,8.774365749490212,0.0,1150.044062614441
20231130155544,20231130155544,,,dtlz1,3,10,0,,,,,500,0.3311007656959338,0.2155360226376416,0.1118985198578342,2943.192353963852
20231213060629_mub6s,20231213060629_mub6s,2023-12-13 06:06:31,True,dtlz1,2,2,0,1,rate with one time change when fails,0.6,11,250,0.006070730647599002,0.0023614548413581726,0.2325960056121476,945.1298654079437
20231214010807_skpn0,20231214010807_skpn0,2023-12-14 01:08:09,True,dtlz7,3,3,0,1,rate with one time change when fails,0.5,15,50,0.24097025189594512,4.525850551505904,0.675245850834999,104.13637828826904
20231205205054_23550,20231205205054_23550,,,dtlz4,5,5,2,,,0.5,30,70,0.6703050769571812,0.031063393823836688,0.4949765610476413,141.57375168800354
20231213012930_gtaab,20231213012930_gtaab,2023-12-13 01:29:32,True,dtlz7,3,3,0,1,rate with one time change when fails,0.5,15,50,0.39456596668689486,1.8582644351984903,0.366531165120903,104.66164374351501
20231213215130_zcdoc,20231213215130_zcdoc,2023-12-13 21:51:32,True,dtlz1,2,3,4,0,rate with continuous change when fails,0.2,11,250,0.025698084580451874,0.008990024370996717,0.22439004679296978,983.92951130867
20231214112110_frin5,20231214112110_frin5,2023-12-14 11:21:12,True,dtlz4,2,3,4,"0 (['local', 'global'])",continuous change when fails,0.2,11,250,0.44239656051915593,0.11938980517258868,0.11888728491478984,584.3036451339722
20231213235745_lxr96,20231213235745_lxr96,2023-12-13 23:57:48,True,dtlz7,3,3,0,1,rate with one time change when fails,0.5,15,50,0.2839847199204855,1.1090614188408827,0.4691502950930617,110.52184724807739
20231214014811_u5zun,20231214014811_u5zun,2023-12-14 01:48:13,True,dtlz3,2,2,4,1,rate with continuous change when fails,0.2,11,250,9.511804303186551,24.514915613473114,0.0,31002.182950496674
20231213160037_4x52k,20231213160037_4x52k,2023-12-13 16:00:40,True,dtlz1,2,3,0,0,rate with continuous change when fails,0.4,11,250,0.009748976560207042,0.0025614348855755777,0.23106057397424648,906.0066950321198
