Folder,id,time,success,problem,number of objects,number of variables,algorithm choice,phase list,phase strategy,first phase rate,population size,maximum number of function evaluations,igd,gd,hv,time cost
20231213202328_94e84,20231213202328_94e84,2023-12-13 20:23:30,True,dtlz1,2,3,0,1,continuous change when fails,0.6,11,250,0.014422573546981699,0.002440947503001349,0.2289803476846482,1041.0111300945282
20231213134247_tzc0a,20231213134247_tzc0a,2023-12-13 13:42:50,True,dtlz1,2,2,4,1,continuous change when fails,0.6,11,250,0.030748997363381773,0.002440611157813794,0.22227342480917134,1156.7154729366302
20231206003054_18231,20231206003054_18231,,,dtlz2,2,2,2,,,0.5,11,250,0.007909356241810977,0.0043293021220440885,0.4146226418489982,1123.488043308258
20231201002411_5866,20231201002411_5866,,,dtlz7,3,5,2,,,,,250,0.7453440973054812,0.0014657392432340336,0.3647644323118967,1461.9076902866364
20231214105302_7ay38,20231214105302_7ay38,2023-12-14 10:53:05,True,dtlz4,2,3,4,0,rate with continuous change when fails,0.2,11,250,0.033868634674890055,0.008607171169771003,0.3771169887818977,1677.9011363983154
20231207010925_14640,20231207010925_14640,,,dtlz7,3,3,3,,,0.9,15,300,0.2981144304416643,0.00832126297673759,0.720985818815087,2739.461089372635
20231212145250_4790,20231212145250_4790,2023-12-12 14:52:54,False,dtlz7,3,3,4,0,no change,0.5,15,50,0.49346196531996034,5.796549772248891,0.43381758217087524,111.15849351882935
20231213050115_499nh,20231213050115_499nh,2023-12-13 05:01:18,True,dtlz1,2,2,0,1,rate with continuous change when fails,0.2,11,250,0.00585404803321242,0.0020921306463334024,0.23271216413804677,993.2223029136658
20231206175629_4411,20231206175629_4411,,,dtlz7,3,3,3,,,0.7,15,300,0.45237840982029226,0.05962844154048275,0.46523397354021295,1088.9723827838898
20231130164524,20231130164524,,,dtlz1,3,10,2,,,,,500,0.09292706831686849,0.1781487232958117,0.17828724007009347,3299.9812836647034
20231205235043_18462,20231205235043_18462,,,dtlz1,3,3,2,,,0.5,15,250,0.06855360458278345,0.10822810603856199,0.1852125050454357,1215.4474036693573
20231213191433_3rct1,20231213191433_3rct1,2023-12-13 19:14:36,True,dtlz1,2,3,0,1,rate with continuous change when fails,0.4,11,250,0.05138119106749459,0.0018872335186073893,0.21571770673468887,991.6487658023834
20231213062222_g7466,20231213062222_g7466,2023-12-13 06:22:24,True,dtlz1,2,2,0,1,rate with continuous change when fails,0.6,11,250,0.00584504483041355,0.012630085474429852,0.2308331812597185,948.5947873592377
20231213041243_g1vyk,20231213041243_g1vyk,2023-12-13 04:12:45,True,dtlz1,2,2,0,0,rate with continuous change when fails,0.8,11,250,0.007375803328344991,0.002017009488306788,0.23191533110614598,929.4131548404694
20231213225447_2w67n,20231213225447_2w67n,2023-12-13 22:54:50,True,dtlz1,2,3,4,0,continuous change when fails,0.4,11,250,0.13360587903152304,0.005470953251637855,0.17485241593528075,1080.3559217453003
20231205231325_1777,20231205231325_1777,,,dtlz1,2,2,2,,,0.5,11,250,0.012116377440179307,0.0020615522462989018,0.23035134758958298,1130.2270023822784
20231201132250_23668,20231201132250_23668,,,dtlz7,3,3,2,,,,15,500,0.28584090348748015,0.0071856453356906585,0.8417797755049081,1409.8013820648193
20231214003737_pcozn,20231214003737_pcozn,2023-12-14 00:37:40,True,dtlz7,3,3,4,0,rate with one time change when fails,0.5,15,50,0.5073910698116285,0.04625163548516225,0.5925736840684946,80.08132553100586
20231205205710_2833,20231205205710_2833,,,dtlz7,5,5,2,,,0.5,30,70,0.6424196183738623,15.169083614164597,0.3852493032465193,55.73179316520691
20231205204506_22971,20231205204506_22971,,,dtlz2,5,5,2,,,0.5,30,70,0.32933125536869146,0.09361188318028316,0.7491883344868989,160.13078117370605
20231213122631_uis90,20231213122631_uis90,2023-12-13 12:26:33,True,dtlz1,2,2,4,1,rate with continuous change when fails,0.4,11,250,0.022911158596912645,0.0017033399739031267,0.22639522504341822,1231.1178708076477
20231213235525_2qr6w,20231213235525_2qr6w,2023-12-13 23:55:27,True,dtlz7,3,3,0,0,rate with one time change when fails,0.5,15,50,0.25903030390614395,0.06744518151277616,0.5350039019810467,134.95062112808228
20231213022134_6cwkh,20231213022134_6cwkh,2023-12-13 02:21:37,True,dtlz1,2,2,0,0,rate with one time change when fails,0.4,11,250,0.005865973468848581,0.004298170659637976,0.2325872024399068,947.1556894779205
20231214005748_r6cmc,20231214005748_r6cmc,2023-12-14 00:57:51,True,dtlz7,3,3,4,0,rate with one time change when fails,0.5,15,50,0.24765584439761051,0.4322383125911852,0.5910054136705924,82.1633882522583
