ID: 20231204174149_9591

Problem: dtlz1
Number of objects: 2
Number of variables: 2

Algorithm choice: 2
Algorithm phase strategy: global + local
First phase rate: 0.5
Population size: 11
Maximum number of function evaluations: 300

IGD: 0.009928252586350697
GD: 0.0019414485702857896
HV: 0.23107794158097372
Time cost: 1329.7067110538483

non_dom_solutions:
[0.7463195466835184, 0.5007418663780938]
[0.06802100249816229, 0.5037627333068679]
[0.16227204857978225, 0.49825339286657855]
[0.5751333340539535, 0.5015110453604941]
[0.3630607039931164, 0.5016143134547024]
[0.8170309152712254, 0.49868082039923023]
[0.7021915754796714, 0.49860737189630866]
[0.024330763580736103, 0.4986214106816891]
[0.170869782035572, 0.4989253745256226]
[0.7263896157255921, 0.49866674069717404]
[0.031414112238478675, 0.4994366027462191]
[0.10949043210976125, 0.4986214106816891]
[0.44361258809992216, 0.4989377924498947]
[0.5461348828106817, 0.4990838747354023]
[0.21928312908846054, 0.5004399311081086]
[0.24597457965172675, 0.5003206408778278]
[0.3739901602208834, 0.4986214106816891]
[0.5555457369451788, 0.49861886128004507]
[0.6924573204885859, 0.4993078327965246]
[0.915151034715445, 0.49909514136334326]
[0.8787581996446077, 0.4990433728066231]
[0.03027223804363885, 0.499069040836607]
[0.37950689649021013, 0.4986214106816891]
[0.8465059773264805, 0.49860737189630866]
[0.23900763532791752, 0.4975725633103182]
[0.3775053147904851, 0.49819238013761236]
[0.5282891550234429, 0.49862443889459196]
[0.9544003111559193, 0.5020222170876127]
[0.9013031797647015, 0.4992641564786885]
[0.6058656947870891, 0.49916543729298846]
[0.25522977380078427, 0.49868082039923023]
[0.11196808016188275, 0.49919368564821265]
[0.08950663743227524, 0.4986214106816891]
[0.8147286862338926, 0.4991907699127186]
[0.20389054842271803, 0.4991929613122502]
[0.7115331227704713, 0.4986579371357325]
[0.5282218435796542, 0.4986244127863247]
[0.5287918601040169, 0.49862443889459196]
[0.8089368583903698, 0.5000369079391677]
[0.12898925644257653, 0.4992438605891625]
[0.8991572392284307, 0.49927941078366633]
[0.6207664280491155, 0.4992824624975958]
[0.19928685815654146, 0.49928755617277043]
[0.6865430729117362, 0.5012679999079179]
[0.32998936160508635, 0.5000183850178832]
[0.11896284326812206, 0.5000803499351247]
[0.45465125413687413, 0.49927941078366633]
